market_id,player_1,player_2,odds_player_1,odds_player_2,match_id,actual_winner,winner_name,loser_name,match_date,selection_id_1,selection_id_2,implied_prob_1,implied_prob_2,odds_margin,implied_prob_diff,odds,odds_2,implied_prob,implied_diff
1.22387885,Stefan Kozlov,Bruno Kuzuhara,,,47b97cf3f6,,,,,7415002,38183232,,,,,,,,
1.223878854,Thomas Fancutt,Matias Soto,,,fd831d4ac8,,,,,9630951,12271448,,,,,,,,
1.223878862,Joris De Loore,Zsombor Piros,,,7ee488bef7,,,,,8622401,10410254,,,,,,,,
1.223878866,Alexander Ritschard,Raul Brancaccio,,,005ebc0618,,,,,7444812,10109524,,,,,,,,
1.223878878,Pedro Sakamoto,Felix Gill,,,1a26bf6c08,,,,,8304915,20832477,,,,,,,,
1.22387889,Renzo Olivo,Gerard Campana Lee,,,062fffcc17,,,,,4822931,43997367,,,,,,,,
1.223878894,Lucas Pouille,Vit Kopriva,,,aea1367bc2,,,,,7031400,9543224,,,,,,,,
1.223878906,Manuel Guinard,Kyrian Jacquet,,,15ac5c5af9,,,,,8427047,17980099,,,,,,,,
1.22387891,Harold Mayot,Filip Misolic,,,ea81800486,,,,,17806086,25989805,,,,,,,,
1.223878914,Geoffrey Blancaneaux,Maxime Cressy,,,a75004b975,,,,,9196749,11510005,,,,,,,,
1.223879051,Hunter/Siniakova,Krejcikova/Siegemund,,,24cbec5d7f,,,,,51395753,64689930,,,,,,,,
1.223879055,Hsieh/Mertens,Schuurs/Stefani,,,0502b014fb,,,,,39345701,64928033,,,,,,,,
1.223880237,Daniil Medvedev,Hubert Hurkacz,,,b0c446015e,,,,,19924831,19924838,,,,,,,,
1.223886229,Durasovic/Virtanen,Kadhe/Nedunchezhi,,,a7c37af370,,,,,47776458,65211584,,,,,,,,
1.223886634,Garcia/Mladenovic,Kichenok/Ostapenko,,,d6b1da0e08,,,,,10704359,20015061,,,,,,,,
1.223886656,Daniela Seguel,Berta Bonardi,,,5a65219931,,,,,8476179,9627630,,,,,,,,
1.223887159,Alexander Zverev,Carlos Alcaraz,,,d8bb585b84,,,,,19924823,25215583,,,,,,,,
1.223887347,Whitney Osuigwe,Kayla Cross,,,8d7ca207b3,,,,,11313166,40480512,,,,,,,,
1.223887348,Adriana Reami,Tiphanie Lemaitre,,,a256d9b2f2,,,,,19446969,61464615,,,,,,,,
1.223887369,Gonzalez/Molteni,Bopanna/Ebden,,,81cb9d2121,,,,,8462579,51596955,,,,,,,,
1.223896014,"Anna Kalinskaya
","Qinwen Zheng
",,,624a0038e8,Qinwen Zheng,Qinwen Zheng,Anna Kalinskaya,2024-01-15,9634088,13363003,,,,,,,,
1.223901343,Adrian Andreev,Guy Den Ouden,,,1bb5c5d3f9,,,,,10460263,36157022,,,,,,,,
1.223901347,Henri Squire,Leandro Riedi,,,c96cea5207,,,,,10460261,28081306,,,,,,,,
1.223901351,Mikhail Kukushkin,Maks Kasnikowski,,,79ec0449f4,,,,,2609424,35635702,,,,,,,,
1.223901412,Rudolf Molleker,Raphael Collignon,,,753b233bdd,,,,,10508984,36157024,,,,,,,,
1.223901533,Marc-Andrea Huesler,Jurij Rodionov,,,1bbbbbaef8,,,,,9631939,10555106,,,,,,,,
1.223901548,Borna Coric,Felipe Meligeni Alves,,,f3bceb8f6e,,,,,7446579,42830226,,,,,,,,
1.223901552,Jan Choinski,Antoine Escoffier,,,4804423459,,,,,8679715,9454286,,,,,,,,
1.223901574,Marius Copil,Altug Celikbilek,,,cc40402ded,,,,,4195870,8842202,,,,,,,,
1.223904983,Marco Cecchinato,Cristian Garin,,,0dc6d36ee4,,,,,6374165,23814703,,,,,,,,
1.223904987,Alessandro Giannessi,Juan Manuel Cerundolo,,,43739301ce,,,,,5829494,12686963,,,,,,,,
1.223904999,Elias Ymer,Gabriel Diallo,,,51211223a7,,,,,7414305,24966308,,,,,,,,
1.223905418,Camilo Ugo Carabelli,Mariano Navone,,,f597715192,,,,,9635538,21809027,,,,,,,,
1.223909699,Clark/Debru,Handel/Whiting,,,599d1784f6,,,,,62249436,65230037,,,,,,,,
1.223911147,Felix Gill,M A Dellien Velasco,,,4c5d9e516b,,,,,20832477,65177945,,,,,,,,
1.223914064,Sabanov/Sabanov,Beaupain/Loge,,,c6debaaa56,,,,,10107989,65230649,,,,,,,,
1.223914146,Kichenok/Ostapenko,Dabrowski/Routliffe,,,6e76efff4f,,,,,20015061,59071231,,,,,,,,
1.223914156,Matuszewski/Walkow,Paris/Tsitsipas,,,9936581598,,,,,65230682,65230683,,,,,,,,
1.223914759,Maria Victoria Marchesini,Michela Castro Zunino,,,f9d44b86da,,,,,63168803,65205642,,,,,,,,
1.223915086,Michael Geerts,Alibek Kachmazov,,,1dfc9914ff,,,,,8874195,20357631,,,,,,,,
1.223915285,Arjun Kadhe,Moez Echargui,,,1392fbf3ba,,,,,8924620,10033628,,,,,,,,
1.223915289,Lucas Poullain,Samuel Vincent Ruggeri,,,ead5970e45,,,,,8284524,25337482,,,,,,,,
1.223918033,Coco Gauff,Aryna Sabalenka,,,9a3d62a2c5,Aryna Sabalenka,Aryna Sabalenka,Coco Gauff,2024-01-15,27552403,64563186,,,,,,,,
1.223918981,Dalila Jakupovic,Naiktha Bains,,,45fa9e4d12,,,,,5690805,8183101,,,,,,,,
1.223922799,Novak Djokovic,Jannik Sinner,,,ffd359cf4a,,,,,2249229,10372253,,,,,,,,
1.223924938,Calvin Hemery,Duje Ajdukovic,,,5cbd1b01cb,,,,,7287667,12819814,,,,,,,,
1.22393245,Adil Kalyanpur,Abhinav Sanjeev Shanmugam,,,0007da72cd,,,,,10827717,21688049,,,,,,,,
1.223932451,Adam Heinonen,Edison Ambarzumjan,,,adfdaf8f46,,,,,19063974,40820478,,,,,,,,
1.223934363,Daria Lodikova,Justina Gonzalez Daniele,,,832ffd9914,,,,,9627974,63168802,,,,,,,,
1.223935012,Mathias Bourgue,Gijs Brouwer,,,68af5966d8,,,,,7066925,9629296,,,,,,,,
1.223935016,Aziz Dougaz,Samuel Vincent Ruggeri,,,9be288178c,,,,,9632269,25337482,,,,,,,,
1.22393524,Emilien Voisin,Ricardas Berankis,,,0735a99e22,,,,,19063920,19924827,,,,,,,,
