snapshot_date,match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner,odds_margin,implied_diff,won
2023-01-17,2023-01-16,Caroline Garcia,Katherine Sebov,Caroline Garcia,Katherine Sebov,1.09,6.5,0.9174311926605504,0.1538461538461538,DraftKings,Caroline Garcia,True,False,-0.07127734650670425,0.7635850388143965,1
2023-01-17,2023-01-16,Magda Linette,Mayar Sherif,Magda Linette,Mayar Sherif,1.28,4.5,0.78125,0.2222222222222222,Matchbook,Magda Linette,True,False,-0.003472222222222321,0.5590277777777778,1
2023-01-17,2023-01-16,Shuai Zhang,Patricia Maria Tig,Patricia Maria Tig,Shuai Zhang,7.0,1.1,0.1428571428571428,0.9090909090909092,WynnBET,Shuai Zhang,False,True,-0.051948051948051965,-0.7662337662337664,0
2023-01-17,2023-01-16,Veronika Kudermetova,Maryna Zanevska,Maryna Zanevska,Veronika Kudermetova,4.85,1.18,0.2061855670103093,0.8474576271186441,Marathon Bet,Veronika Kudermetova,False,True,-0.053643194128953464,-0.6412720601083348,0
2023-01-17,2023-01-16,Laura Siegemund,Lucia Bronzetti,Laura Siegemund,Lucia Bronzetti,2.04,1.78,0.4901960784313725,0.5617977528089888,BetRivers,Laura Siegemund,True,False,-0.05199383124036139,-0.07160167437761633,1
2023-01-17,2023-01-16,Liudmila Samsonova,Jasmine Paolini,Jasmine Paolini,Liudmila Samsonova,4.96,1.18,0.2016129032258064,0.8474576271186441,1xBet,Liudmila Samsonova,False,True,-0.049070530344450525,-0.6458447238928378,0
2023-01-17,2023-01-16,Lucrezia Stefanini,Tatjana Maria,Lucrezia Stefanini,Tatjana Maria,2.3,1.6,0.4347826086956522,0.625,Neds,Lucrezia Stefanini,True,False,-0.05978260869565233,-0.19021739130434778,1
2023-01-17,2023-01-16,Yulia Putintseva,Sorana Cirstea,Sorana Cirstea,Yulia Putintseva,1.77,2.05,0.5649717514124294,0.4878048780487805,TAB,Yulia Putintseva,False,True,-0.05277662946120998,0.07716687336364891,0
2023-01-17,2023-01-16,Petra Martic,Viktorija Golubic,Petra Martic,Viktorija Golubic,1.76,2.12,0.5681818181818182,0.4716981132075471,FanDuel,Petra Martic,True,False,-0.03987993138936541,0.09648370497427111,1
2023-01-17,2023-01-16,Victoria Azarenka,Nadia Podoroska,Nadia Podoroska,Victoria Azarenka,8.77,1.07,0.1140250855188141,0.9345794392523364,LowVig.ag,Victoria Azarenka,False,True,-0.048604524771150626,-0.8205543537335224,0
