market_id,player_1,player_2,odds_player_1,odds_player_2,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff
1.208750606,Stefanos Tsitsipas,Rinky Hijikata,1.04,22.0,Stefanos Tsitsipas,Stefanos Tsitsipas,Rinky Hijikata,2023-01-16,stefanos tsitsipas,rinky hijikata,9193006,12343905,0.9615384615384615,0.045454545454545456,0.006993006993006867,0.916083916083916
1.208750919,Constant Lestienne,Cameron Norrie,11.0,1.1,Cameron Norrie,Cameron Norrie,Constant Lestienne,2023-01-16,constant lestienne,cameron norrie,7797931,42669524,0.09090909090909091,0.9090909090909091,0.0,-0.8181818181818181
1.208752082,Alex Molcan,Felix Auger-Aliassime,13.5,1.07,Felix Auger Aliassime,Felix Auger Aliassime,Alex Molcan,2023-01-16,alex molcan,felix auger aliassime,8960879,12210252,0.07407407407407407,0.9345794392523364,0.008653513326410511,-0.8605053651782624
1.208755649,Marton Fucsovics,Lloyd Harris,1.98,1.97,Marton Fucsovics,Marton Fucsovics,Lloyd Harris,2023-01-16,marton fucsovics,lloyd harris,4827766,11313212,0.5050505050505051,0.5076142131979695,0.012664718248474482,-0.0025637081474644274
1.208782724,Grigor Dimitrov,Laslo Djere,1.31,1000.0,Grigor Dimitrov,Grigor Dimitrov,Laslo Djere,2023-01-16,grigor dimitrov,laslo djere,3120169,7692106,0.7633587786259541,0.001,-0.23564122137404586,0.7623587786259541
1.208787744,Pablo Carreno Busta,Benjamin Bonzi,1.38,3.65,Benjamin Bonzi,Benjamin Bonzi,Pablo Carreno Busta,2023-01-16,pablo carreno busta,benjamin bonzi,5479878,9632014,0.7246376811594204,0.273972602739726,-0.0013897161008535885,0.4506650784196944
1.208791811,Tommy Paul,"Alejandro Davidovich Fokina
",1.5,3.0,Tommy Paul,Tommy Paul,Alejandro Davidovich Fokina,2023-01-16,tommy paul,alejandro davidovich fokina,8859306,11265008,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333
1.208791981,Diego Schwartzman,JJ Wolf,2.8,1.54,J J Wolf,J J Wolf,Diego Schwartzman,2023-01-16,diego schwartzman,jj wolf,8736474,42316645,0.35714285714285715,0.6493506493506493,0.006493506493506551,-0.2922077922077922
1.208797267,Nicolas Jarry,Ben Shelton,12.0,2.64,Ben Shelton,Ben Shelton,Nicolas Jarry,2023-01-16,nicolas jarry,ben shelton,8260515,39460566,0.08333333333333333,0.3787878787878788,-0.5378787878787878,-0.29545454545454547
1.208799621,Casper Ruud,Jenson Brooksby,1.3,4.2,Jenson Brooksby,Jenson Brooksby,Casper Ruud,2023-01-16,casper ruud,jenson brooksby,9629711,11881072,0.7692307692307692,0.23809523809523808,0.0073260073260073,0.531135531135531
